energy eV,norm,nbkg,flat,fbkg,nder,nsec
5471.53,0.86192956,0.8609554,1.0024547,1.0014805,-1.2093884e-05,-7.4069432e-06
5475.93,0.86172025,0.86170412,1.0013871,1.001371,-1.2662024e-05,4.5239266e-06
5480.341,0.86181799,0.86249518,1.0005864,1.0012636,2.7766434e-05,7.8800057e-06
5484.771,0.86196573,0.86332964,0.9997934,1.0011573,5.7005106e-05,6.9515468e-06
5489.22,0.86232414,0.86420709,0.99916833,1.0010513,8.9489218e-05,3.1232104e-07
5493.693,0.86276415,0.86512814,0.99858045,1.0009444,5.9791635e-05,3.0881868e-06
5498.18,0.86285987,0.86609026,0.99760565,1.000836,0.00011715937,1.7550222e-05
5502.69,0.86381824,0.8670949,0.99744825,1.0007249,0.00021769098,1.6625065e-05
5507.209,0.86482541,0.86813835,0.99729743,1.0006103,0.00026726708,1.2465653e-05
5511.759,0.86624208,0.86922518,0.99750774,1.0004908,0.00033074198,1.3112889e-05
5516.323,0.86783979,0.87035087,0.9978546,1.0003657,0.00038677795,1.1984892e-05
5520.91,0.86978149,0.87151705,0.99849801,1.0002335,0.00044041573,8.7456958e-06
5525.508,0.87188501,0.87272001,0.99925873,1.0000937,0.00046710717,1.3993147e-06
5530.129,0.87408775,0.87396224,1.0000702,0.99994468,0.00045331601,-5.0607994e-06
5534.771,0.87608407,0.87524261,1.0006268,0.99978533,0.00042022898,-6.5691208e-06
5539.43,0.8779963,0.87655934,1.0010516,0.99961459,0.00039221662,-1.0494638e-05
5544.11,0.87974698,0.87791287,1.0012653,0.99943112,0.00032221956,-1.4363943e-05
5548.81,0.88101872,0.87930222,1.0009502,0.99923369,0.00025748284,-7.1073096e-06
5553.528,0.88217196,0.88072604,1.000467,0.9990211,0.00025528292,1.3936517e-06
5558.259,0.88343089,0.88218199,1.0000413,0.99879233,0.00027065145,5.4643935e-06
5563.02,0.88474098,0.88367454,0.99961165,0.99854519,0.00030715094,2.6486832e-06
5567.792,0.88635896,0.88519695,0.99944133,0.99827929,0.00029590135,-3.5185112e-06
5572.589,0.88757246,0.8867528,0.99881217,0.99799249,0.00027348231,-3.0457058e-06
5577.398,0.88898603,0.88833699,0.9983332,0.99768414,0.0002666443,-2.0739179e-06
5582.229,0.89014291,0.88995189,0.99754325,0.9973522,0.00025348974,4.5073521e-07
5587.079,0.89144006,0.89159558,0.99683989,0.99699538,0.00027100787,4.0292041e-06
5591.949,0.89277711,0.89326744,0.99612178,0.99661209,0.0002926536,4.1130102e-06
5596.844,0.89429782,0.89496826,0.99552995,0.99620035,0.00031117141,3.9104875e-06
5601.75,0.8958269,0.89669212,0.9948946,0.9957598,0.00033098029,5.2293031e-06
5606.67,0.89755004,0.89843898,0.99439976,0.99528868,0.00036255455,7.017446e-06
5611.62,0.89940531,0.90021347,0.99397566,0.99478379,0.00040024248,3.348754e-06
5616.58,0.90151644,0.90200733,0.99375462,0.99424549,0.0003957407,-2.5346722e-06
5621.568,0.90334214,0.90382594,0.99318637,0.99367014,0.00037502756,-3.2585377e-07
5626.568,0.90526221,0.90566232,0.99265778,0.99305786,0.00039248607,5.3054631e-06
5631.589,0.90727524,0.90751856,0.99216255,0.99240584,0.00042819361,-9.7733479e-07
5636.629,0.90957027,0.90939271,0.99189014,0.99171255,0.00038265311,-5.6344104e-06
5641.688,0.91113966,0.91128352,0.99083233,0.99097617,0.0003712917,1.5302767e-06
5646.771,0.91333591,0.91319159,0.9903384,0.99019406,0.00039817317,-1.7670952e-06
5651.87,0.91519386,0.91511261,0.98944682,0.98936554,0.00035329913,-4.8892802e-06
5656.99,0.91694627,0.91704711,0.98838711,0.98848791,0.00034820962,3.1319179e-06
5662.121,0.91876335,0.91898994,0.98733446,0.98756102,0.00038540443,6.3505554e-06
5667.282,0.92091286,0.92094688,0.98654541,0.9865794,0.00041356953,3.404669e-06
5672.451,0.92303553,0.92290815,0.98567264,0.98554523,0.00042057466,1.1242885e-06
5677.649,0.92527295,0.92488026,0.984845,0.98445228,0.00042522503,-4.0718265e-07
5682.86,0.92746169,0.92685561,0.98390786,0.98330175,0.00041633629,-9.2793315e-07
5688.089,0.9296195,0.92883459,0.98287548,0.98209054,0.00041553741,1.1105785e-06
5693.339,0.93181611,0.93081674,0.98181517,0.98081578,0.00042797404,2.584689e-06
5698.61,0.93412222,0.93280047,0.98079699,0.97947521,0.00044273092,7.4729559e-07
5703.899,0.93649135,0.93478301,0.97977574,0.97806737,0.00043586549,-1.7823958e-06
5709.208,0.93874152,0.93676342,0.97856756,0.97658943,0.00042384109,-2.2649076e-06
